group_name,time_in_hours,absorbance,dilution_factor
G4_4AP_HNT_C,1344,0.27657,1
G4_4AP_HNT_C,1344,0.32034,1
G4_4AP_HNT_C,1512,0.32495,1
G4_4AP_HNT_C,1512,0.28874,1
G4_4AP_HNT_C,1512,0.26179,1
G4_4AP_HNT_C,1512,0.31798,1
G4_4AP_HNT_C,1512,0.29268,1
G4_4AP_HNT_C,1512,0.29365,1
G4_4AP_HNT_C,1680,0.31617,1
G4_4AP_HNT_C,1680,0.28677,1
G4_4AP_HNT_C,1680,0.31617,1
G4_4AP_HNT_C,1680,0.28607,1
G4_4AP_HNT_C,1680,0.28494,1
G4_4AP_HNT_C,1680,0.2927,1
